,Address,Size,Type,Description
50,8257627,1,Misc.,"Screen mode: CD----Vv.

C = Collision with layer 2.

D = Disable collision with layer 1.

V = Vertical layer 2.

v = Vertical layer 1.

- = unused.


This address is set by a table at $05:8417, which is indexed by the level mode setting."
51,8257628,1,Empty,"Empty. Cleared on reset, titlescreen load and overworld load."
52,8257629,1,Misc.,Number of screens in level.
53,8257630,1,Camera,"In horizontal levels, used as the level's width in screens, i.e. the screen number (plus 1) at which the camera should stop scrolling rightwards. Equivalent to the ""number of screens"" dropdown in Lunar Magic's ""Change Properties in Header"" dialogue. Not used in vertical levels; see $5F instead."
54,8257631,1,Camera,"In vertical levels, used as the level's height in screens, i.e. the screen number (plus 1) at which the camera should stop scrolling downwards. Equivalent to the ""number of screens"" dropdown in Lunar Magic's ""Change Properties in Header"" dialogue. Not used in horizontal levels; see $5E instead."
55,8257632,4,Empty,"Empty. Cleared on reset, titlescreen load and overworld load."
56,8257636,1,Misc.,"Properties (YXPPCCCT) byte for most sprites inside levels - including the player. Exceptions to this include sprites that mess with sprite priority in a different way, such as Piranha Plants, items coming out of a box (and inside the item box) and Net Koopas behind the nets."
57,8257637,3,Pointer,24-bit pointer to layer 1 data - both level and overworld.
58,8257640,3,Pointer,24-bit pointer to layer 2 data.
59,8257643,3,Pointer,24-bit pointer to low byte of Map16 block data. Used during level load.
60,8257646,3,Pointer,24-bit pointer to high byte of Map16 block data. Used during level load.
61,8257649,1,Player,Player animation trigger.Valid Values
62,8257650,1,Player,"Player is in the air flag, as well as the actual pose value to store to $13E0 while the player is in midair. This is set to a certain value depending on how the player got in the air in the first place, and in what state he is currently (rising or sinking).

This address is not affected by phases such as climbing. It is, however, also used in swimming animation.


Notable values:

#$0B = Jumping/swimming upwards.

#$0C = Shooting out of a slanted pipe, running at maximum speed.

#$24 = Descending/sinking.


The address in general is used in many instances.

For example, the game checks if this address is #$0C. If not, the player cannot ascend properly with the cape. Furthermore, the Layer 3 smash won't hurt the player if he's not on the ground (any non-zero value) and this address prevents the player from locking in place when still airborne during the Morton/Roy/Ludwig battle."
63,8257651,1,Flag,"Player is ducking flag. #$00 = No; #$04 = Yes. However, any value that is not zero also counts as 'Yes', SMW just stores that specific value to it."
64,8257652,1,Player,"Player is climbing flag: format: n--sifhb

n: Net/vine flag. 1 - net, 0 - vine. Determines whether Mario can move diagonally.

s: Side body collision point with climbing. If clear, block horizontal movement.

i: Side head collision point with climbing.

f: Feet collision point with climbing.

h: Head collision point with climbing.

b: Body collision point with climbing."
65,8257653,1,Flag,Player is in water flag. #$00 = No; #$01 = Yes.
66,8257654,1,Player,Player direction. #$00 = Left; #$01 = Right.
67,8257655,1,Player,"Player blocked status - Used to check if player is blocked in a certain direction. Format: SxxMUDLR

The M bit means that the player is in the middle of a block.

The S bit indicates that the player is touching the side of the screens while horizontal screen scrolling is disabled.

UDLR = up, down, left, right (contact with walls).


L is checked each 4 frames when the player have negative X speed. Others frames is zero.


R is checked each 4 frames when the player have positive X speed. Others frames is zero."
68,8257656,1,Player,"Used to hide the player partially or fully. Format: dlucapLU.

d = used in conjunction with all other set bits in order to disable processes such as the star timer decrementing.

l = hide lower extra player tile when in flight (hovering with the cape).

u = hide upper extra player tile when in flight (hovering with the cape).

c = hide regular cape tile.

a = hide attributive 8x8 tile.

p = hide extra player tile that is shown during the inflated P-balloon pose (does not apply if the player is small).

L = hide lower half of the body.

U = hide upper half of the body."
69,8257657,1,Empty,"Empty. Cleared on reset, titlescreen load, overworld load and level load."
70,8257658,1,Player,"Accumulating fraction bits for fixed point player X speed (fractions of 256, see code around $00D792, this handles horizontal movement with the player and when the player is on the slope).


Not to be confused with $7E13DA, which handles X position."
71,8257659,1,Player,"Player X speed (8-bit, 2-complement signed), in 1/16s of a pixel per frame.

$80-$FF: leftwards speed, with $80 fastest.
$00: Not moving horizontally.
$01-$7F: rightwards speed, with $7F fastest.


Note: Player's maximum X speeds, while holding left or right oscillates between (inclusively) $13-$15 (walking) and $2F-$31 (dashing). The oscillation is due to the code applying deceleration when Mario is at or above the max speed, rather than just setting his speed to the max value."
72,8257660,1,Empty,"Empty. Cleared on reset, titlescreen load, overworld load and level load."
73,8257661,1,Player,"Player Y speed (8-bit, 2-complement signed), in 1/16s of a pixel per frame:


$80-$FF: Upwards speed, with $80 being the fastest (launches the player the highest)
$00: Not moving vertically.
$01-$7F: Downwards speed, with $7F being the fastest.


Note: $43 (when holding jump) $46 (not holding jump) is the maximum fall speed. Although $40 is the intended max speed (see at $00D7AF), the code first caps the downwards speed, and then apply the gravitational acceleration (increases Y speed by $03 or $06) afterwards.


When jumping, $B3 is the normal jump speed, and #$A4 is the jump speed when fully running."
74,8257662,2,Player,"Player X position (16-bit), within the borders of the screen."
75,8257664,2,Player,"Player Y position (16-bit), within the borders of the screen.

Note that this value may be displaced by $1888 (the screen shake), in addition to small one-pixel displacements based on Mario's powerup status and walking animation frame."
76,8257666,3,Pointer,"Points to how steep the various slopes are and which parts of the slopes they represent. Points to $00:E5C8 in tilesets 0 and 7, and $00:E55E in others.

The table this one points to has one byte per block, from tile 16E to tile 1D7.

The value in these tables is then multiplied by 16, the lowest nibble of the sprite/player X position is added, and this is then used as an index to $00:E632 to tell how many pixels the sprite/player should move down from the nearest 16x16 tile."
77,8257669,1,Flag,Water level flag. #$00 = No; #$01 = Yes.
78,8257670,1,Flag,Slippery level flag. #$00 = No; #$01 through #$7F = Half-slippery; #$80 through #$FF = Yes. Possible values in the clean ROM are #$00 and #$80.
79,8257671,1,Empty,"Empty. Cleared on reset, titlescreen load, overworld load and level load.

Note that this address is used as freeram by the SA-1 patch."
80,8257672,1,Player,"How long player goes into a pipe until he warps to another level.


Also used as a timer in the castle destruction scenes for holding inputs."
81,8257673,1,Player,"Action to take when the player enters or exits from a pipe (see valid values).


It also serves as a timer for the No Yoshi cutscenes for each controller command (for the table at $00:C848).Valid Values"
82,8257674,3,Misc.,"Used for quite a number of things.


Altogether, it's a 24-bit pointer to the location of the compressed graphics files inside the ROM.


Furthermore, these addresses all appear to be used as scratch RAM. For example, solely $7E:008A is used as number of options to select in a blinking cursor menu."
83,8257677,3,Misc.,"This forms a 24-bit pointer to part of the decompressed graphics; starts at $7E:ACFE/F and keeps decrementing.

The three seperate RAM addresses have multiple purposes, however.


Notes:

-During code at $00E940, $8F is a backup of $72 (player in the air flag). The code at $00EC06 is used for detecting when entering doors."
84,8257680,1,Player,Player Y position within a block.  Calculated with $7E:0096 & #$0F. Indicates whether the player is touching the top or the bottom of the block.
85,8257681,1,Player,"The direction to move the player out of a block.

#$01-#$07 are up, #$08-#$0F are down. Directly storing to it is ineffective as $7E:0090 will be used to overwrite it at $00:EE19."
86,8257682,1,Player,Player X position within a block. Calculated with $7E:0094 + #$08 & #$0F.
87,8257683,1,Player,The side of a block the player is on. It's set to #$00 for the right side and #$01 for the left side.  This address is relative to the block the player is currently inside.
88,8257684,2,Player,"Player X position (16-bit) within the level, next frame (calculates player position one frame ahead, as opposed to $7E:00D1).

It's also used as a player X position on-screen on the overworld border."
89,8257686,2,Player,"Player Y position (16-bit) within the level, next frame (calculates player position one frame ahead, as opposed to $7E:00D3).

It's also used as a player Y position on-screen on the overworld border.


Note: During levels, the player's Y position is unaffected whether or not he is crouching or not, as well as if the player is small or big, thus his origin point is actually always 32 pixels up from where his feet is at. Being on yoshi, however, his Y position is offset by -$0010 (1 full block up)."
90,8257688,4,Misc.,"Position (in pixels) of the collision point currently being processed for player interaction with blocks in the level. Also used in the creation of various sprite types/other blocks.


$98-$99: 16-bit Y position

$9A-$9B: 16-bit X position


Note that this position is with respect to the top left of the layer being processed. Hence, if Layer 1 and Layer 2 are offset from each other, this value will differ between the two, even when Mario is at the same position with respect to the level.


Also note that, in vertical levels, the X and Y position may be swapped after running certain block changing routines (e.g. $00BEB0 or the ChangeMap16 routine included with various tools)."
91,8257692,1,Blocks,Map16 tile to generate (used with $00:BEB0).Valid Values
92,8257693,1,Flag,"Lock animation and sprites flag. Most codes will still run if this is set, but almost nothing will move or animate."
93,8257694,12,Sprites,"Sprite number, or Acts Like setting for custom sprites."
94,8257706,12,Sprites,Sprite Y speed table.
95,8257718,12,Sprites,Sprite X speed table.
96,8257730,12,Sprites,"Miscellaneous sprite table. In SMW, it's commonly used as a pointer to different parts of a sprite. More information can be found here."
97,8257742,3,Pointer,24-bit pointer to level's sprite data.
98,8257745,2,Player,"Player X position (16-bit) within the level, current frame (as opposed to $7E:0094)."
99,8257747,2,Player,"Player Y position (16-bit) within the level, current frame (as opposed to $7E:0096)."
100,8257749,3,Pointer,Pointer to X and Y positions of Wiggler segments. Table at $7F9A7B.
101,8257752,12,Sprites,"Sprite Y position, low byte."
102,8257764,12,Sprites,"Sprite X position, low byte."
103,8257776,16,Empty,"Used by Lunar Magic for various purposes.

$7E:00FE is the current level number plus 1 (so Yoshi's Island 1 would store #$0106 here). It's used for the custom palette loading code. #$0000 means that the custom palette won't be loaded (this is probably used for castle intros and/or credits).

The rest is unknown.


Originally, this address is empty, and it's cleared at reset, titlescreen and overworld load."
104,8257792,1,Misc.,Game Mode.Valid Values
105,8257793,4,Misc.,Currently loaded sprite GFX files - stored in reverse order.
106,8257797,4,Misc.,Currently loaded layer GFX files - stored in reverse order.
107,8257801,1,Misc.,"When set to a non-zero value, the overworld loading routine is overridden by loading a level value stored here, minus #$24 if it's above #$24. For example, the intro level (level C5) is loaded this way by storing #$E9 to this address.

Depending on whether the player is on the main overworld or a submap, the level in question is either in the 0xx or 1xx area."
108,8257802,1,Misc.,Current save file number.
109,8257803,245,Misc.,Stack. The first two bytes is the current level number in most hacks.
110,8258048,544,I/O,"OAM table - handles all sprite tiles. There are 0x80 (128) slots for tiles. Generally, the table is indexed from either $0200 or $0300, with $0300 being used for normal sprites (and Mario) and $0200 being used for various other sprite types.

Note that tiles are drawn to the screen from top to bottom of the table; that is, a sprite in slot 0 will always appear visually on top of a sprite in slot 1.


The actual OAM table consists of two sub-tables:

- $7E0200-$7E03FF (512 bytes): Each slot consists of four bytes in the order of: X position, Y position, tile number, YXPPCCCT. Unused tiles are generally marked by giving them a Y position of #$F0 (which is offscreen).

- $7E0400-$7E041F (32 bytes): Each slot gets 2 bits, used to handle a 9th bit of the X position (for handling sprite tiles that go past the left edge of the screen) and a ""size bit"" which (generally) controls whether the tile is 8x8 (0) or 16x16 (1). Since each tile only requires 2 bits, each byte of this table actually handles four separate tiles; see the details table for more information. It is not recommended that you write to this table directly, though, and you should use the table at $0420 instead.


Various tiles are documented here. Note that:
Code$7E0310-$7E0313 is for the player's upper half

$7E0314-$7E0317 for the player's lower half

$7E0318-$7E031B is for the player's hand.$0400 formatting"
111,8258592,128,Sprites,"A table that determines the size of a sprite tile - 8x8 (#$00) or 16x16 (#$02). Each byte corresponds to four OAM bytes. Stores to $7E:0400-$7E:041F (where each two bits correspond to four OAM bytes.)

The lowest bit (#$01) is also used for the high bit of the X position."
112,8258720,448,Misc.,"HDMA table for windowing effects, such as with the keyhole, level ending and titlescreen."
113,8259168,32,Misc.,"Gets overwritten by the HDMA table for the level ending circle. If the player gets above or below the borders of the screen, it can even run into $7E:0680 and beyond.

Otherwise cleared on reset and titlescreen load, but usage as empty RAM is definitely not recommended."
114,8259200,1,Palettes,"Index to the palette updating tables, that are uploaded every frame.

#$00 = Use table at $7E:0682.

#$03 = Use table at $7E:0905.

#$06 = Use table at $7E:0703."
115,8259201,1,Palettes,"Index to the table at $7E:0682 during the time when data is stored to this table in the lightning, Magikoopa and Big Boo Boss codes."
116,8259202,19,Palettes,"Used for uploading palettes dynamically. SMW uses this in the lightning/Magikoopa/Big Boo Boss palette effects. $7E:0682 holds the amount of bytes to transfer, $7E:0683 holds the color number (stored to SNES register $2121), the bytes afterwards hold the actual color values transferred to the CGRAM.  Further, this table may be indexed by $7E:0681 to add more color destinations; it's terminated by a #$00. The format is the same as before, just at the new location.

This table doesn't actually have to end at $7E:0694, but SMW never goes beyond this. As such, the area after this address is listed as ""empty""."
117,8259221,108,Empty,"100 bytes used in LM 1.70+ for VRAM modification.


In the clean ROM, it's empty (cleared on reset and titlescreen load)."
118,8259329,2,Palettes,Background color. Used during gameplay in conjunction with $2132.
119,8259331,512,Palettes,"The entire palette. It is only uploaded to CGRAM during the level loading routine. Also used during overworld load, but not all of it."
120,8259843,2,Palettes,Copy of background color $7E:0701/2.
121,8259845,496,Palettes,"Copy of palettes 0-F from $0703-$08F2.  Only the first half of palette F is included.  It is used in overworld path events fading in ($04:EAA0), and level ending fade in/out ($00:AF9D)."
122,8260341,1,Empty,Cleared on reset and titlescreen load. Also cleared after a boss had been beaten - this can be disabled by changing [9C 5C 0A] at $00:B08D to [80 01 EA].
123,8260342,256,Misc.,"Used for three different things:

1. Decompressed overworld graphics, animated tiles. For that it also cooperates with $7E:0BF6-$7E:0C55.

2. Iggy's/Larry's platform interaction. (16x16 tiles in a 16x16 square.)

3. Various tables for the Yoshi eggs at the credits, such as how much time must be waited until a new egg breaks, Y speed tables.  See this post.


In addition, Lunar Magic 3.00+ uses part of this region to support the expanded horizontal level system. Addresses are as follows:


$0BEE: Used if the Smart Spawn option is set to check if the screen has scrolled horizontally this frame.

$0BEF: Used if the Smart Spawn option is set to check if the screen has scrolled vertically this frame.

$0BF0-$0BF1: Minimum Y offset from the screen that a sprite can be in order to spawn.  Set depending on the spawn range index.

$0BF2-$0BF3: Maximum Y offset from the screen that a sprite can be in order to spawn.  Set depending on the spawn range index.

$0BF4: Extra flags for sprites, s-----rr.  s = Smart Spawn flag, rr = spawn range index, - = unused bits.

$0BF5: Extra flags and horizontal level mode, tbnmmmmm.  t = flags the level as using a non-background Layer 2 or 3, b = show the bottom row of the level, n = use the new sprite system, mmmmm = horizontal level mode (see here for more info)."
124,8260598,384,Misc.,"Decompressed GFX for tiles #$4A-#$4F, #$5A-#$5F of SP1.


In addition, Lunar Magic 3.00+ uses this region to support the expanded horizontal level system. Addresses are used as follows:


$0BF6-$0C55: Table of up to 32 24-bit pointers to the low byte of the object data in each screen.  These point to locations in $7EC800.  $0C26-$0C55 is used for Layer 2/3 data in levels with a Layer 2/3 foreground.

$0C56-$0CB5: Table of up to 32 24-bit pointers to the high byte of the object data in each screen.  These point to locations in $7FC800.  $0C86-$0CB5 is used for Layer 2/3 data in levels with a Layer 2/3 foreground.

$0CB6-$0CD5: Copy of the low bytes of the table at $0BF6.  $0CC6-$0CD5 is used for Layer 2/3 data in levels with a Layer 2/3 foreground.

$0CD6-$0CF5: Copy of the low bytes of the table at $0C56.  $0CE6-$0CF5 is used for Layer 2/3 data in levels with a Layer 2/3 foreground.

$0CF6-$0D35: Table of up to 32 16-bit pointers to the sprite data in each screen.  These are used to change $CE-$CF.

$0D36-$0D75: Table of up to 32 16-bit values, one for each screen.  The low byte is used to modify the sprite's Y position, while the high byte indicates the number of the sprite within the level (or the number of sprites that have been processed in the level so far)."
125,8260982,2,Graphics,Used during the GFX33 DMA routine.  It holds the first of three possible source addresses for the animated graphics.
126,8260984,2,Graphics,Used during the GFX33 DMA routine.  It holds the second of three possible source addresses for the animated graphics.
127,8260986,2,Graphics,Used during the GFX33 DMA routine.  It holds the third of three possible source addresses for the animated graphics.
128,8260988,2,Graphics,Used during the GFX33 DMA routine.  It holds the first of three possible VRAM addresses for the animated graphics.
129,8260990,2,Graphics,Used during the GFX33 DMA routine. It holds the second of three possible VRAM addresses for the animated graphics.
130,8260992,2,Graphics,Used during the GFX33 DMA routine.  It holds the third of three possible VRAM addresses for the animated graphics.
131,8260994,2,Pointer,16-bit pointer to the player palette. #$B2C8 = regular Mario; #$B2DC = regular Luigi; #$B2F0 = fire Mario; #$B304 = fire Luigi. Always uses #$00 for bank byte (the first bank).
132,8260996,1,Misc.,"Used in Player Graphics DMA routine. This holds the amount of tiles to load. Is #$0A in levels (because of Yoshi) and #$06 on the overworld.

If it's set to zero, the player palette isn't reloaded. The presents screen makes use of that."
133,8260997,20,Sprites,"16-bit pointers in bank $7E for uploading the player's, Yoshi's and Podoboo's on-screen tiles.

They're divided in two sets of 10 bytes, each two bytes being used for two 8x8 tiles. The first 10 bytes are for the top half of each 16x16 tile (player's head, player's bottom, cape, Yoshi's head/Podoboo, Yoshi's bottom), while the latter 10 bytes are for the bottom half of each 16x16 tile (same order).


The format to calculate the tile used is as follows: ([8x8 tile number] - $900 * $20) + $2000.
NOTE: The tile number is only applicable to page 9 onwards."
134,8261017,2,Graphics,Holds the lower two bytes of the 24-bit RAM address (bank byte is $7E) of tile 7F's graphics; used during the player graphics DMA routine.
135,8261019,1,Misc.,"Activates different IRQ/NMI behavior for various game modes, depending on the following values:

#$00 = Regular level.

#$01 = Mario Start, Time Up, etc. + Title Screen + Castle destruction scene.

#$02 = Overworld.

#$80 = Iggy's and Larry's battle mode.

#$C0 = Reznor's, Morton's and Roy's battle mode.

#$C1 = Bowser's battle mode."
136,8261020,1,Empty,Empty. Cleared on reset and titlescreen load.
137,8261021,1,Hardware mirror,Main Screen and Window logic mask setting of current level mode (000abcde - a = Object layer; b = Layer 4; c = Layer 3; d = Layer 2; e = Layer 1). Appears as TM in Lunar Magic. Mirror of SNES registers $212C and $212E; transfer only occurs on level load.
138,8261022,1,Hardware mirror,Sub Screen and Window logic mask setting of current level mode (000abcde - a = Object layer; b = Layer 4; c = Layer 3; d = Layer 2; e = Layer 1). Appears as TD in Lunar Magic. Mirror of SNES registers $212D and $212F; transfer only occurs on level load.
139,8261023,1,Hardware mirror,HDMA Channel Enable: abcdefgh a = Channel 7 .. h = Channel 0: 1 = Enable 0 = Disable. Mirror of SNES register $420C.
140,8261024,1,Misc.,"Which controllers are plugged in (00 = port 1, 01 = port 2). Used to determine which port to accept data from when only one controller is plugged in.


If the high bit is set, then both controller ports are plugged in and $0DB3 will be used instead to determine the active controller."
141,8261025,1,Empty,Empty. Cleared on reset and titlescreen load.
142,8261026,1,I/O,"Copy of controller data 1 ($7E:0015). Format: byetUDLR.

b = B, y = Y, e = Select, t = Start, UDLR = Up/Down/Left/Right.

Used by player 1 (Mario)."
143,8261027,1,I/O,"Copy of controller data 1 ($7E:0015). Format: byetUDLR.

b = B, y = Y, e = Select, t = Start, UDLR = Up/Down/Left/Right.

Used by player 2 (Luigi)."
144,8261028,1,I/O,"Copy of controller data 2 ($7E:0017). Format: axlr----.

a = A; x = X; l = L; r = R, 0 = null/unused.

Note that the upper two bits are also used by controller data 1 at $7E:0015, so that A/B and X/Y are combined.

Used by player 1 (Mario)."
145,8261029,1,I/O,"Copy of controller data 2 ($7E:0017). Format: axlr----.

a = A; x = X; l = L; r = R, 0 = null/unused.

Note that the upper two bits are also used by controller data 1 at $7E:0015, so that A/B and X/Y are combined.

Used by player 2 (Luigi)."
146,8261030,1,I/O,"Copy of controller data 1, one frame ($7E:0016). Format: byetUDLR.

b = B, y = Y, e = Select, t = Start, UDLR = Up/Down/Left/Right.

Used by player 1 (Mario)."
147,8261031,1,I/O,"Copy of controller data 1, one frame ($7E:0016). Format: byetUDLR.

b = B, y = Y, e = Select, t = Start, UDLR = Up/Down/Left/Right.

Used by player 2 (Luigi)."
